2048x2048 bmm transpose 1,,,
elapsed time,power,no of threads,
elapsed time = 349.34 | seconds power is 12 | number of threads is 4 | block size is 32,,,
elapsed time = 354.79 | seconds power is 13 | number of threads is 4 | block size is 32,,,
elapsed time = 360.24 | seconds power is 14 | number of threads is 4 | block size is 32,,,
elapsed time = 365.69 | seconds power is 15 | number of threads is 4 | block size is 32,,,
elapsed time = 371.14 | seconds power is 16 | number of threads is 4 | block size is 32,,,
elapsed time = 376.46 | seconds power is 2 | number of threads is 4 | block size is 64,,,
elapsed time = 381.75 | seconds power is 3 | number of threads is 4 | block size is 64,,,
elapsed time = 387.05 | seconds power is 4 | number of threads is 4 | block size is 64,,,
elapsed time = 392.35 | seconds power is 5 | number of threads is 4 | block size is 64,,,
elapsed time = 397.64 | seconds power is 6 | number of threads is 4 | block size is 64,,,
elapsed time = 402.88 | seconds power is 7 | number of threads is 4 | block size is 64,,,
elapsed time = 408.18 | seconds power is 8 | number of threads is 4 | block size is 64,,,
elapsed time = 413.48 | seconds power is 9 | number of threads is 4 | block size is 64,,,
elapsed time = 418.77 | seconds power is 10 | number of threads is 4 | block size is 64,,,
elapsed time = 424.06 | seconds power is 11 | number of threads is 4 | block size is 64,,,
elapsed time = 429.35 | seconds power is 12 | number of threads is 4 | block size is 64,,,
elapsed time = 434.62 | seconds power is 13 | number of threads is 4 | block size is 64,,,
elapsed time = 439.85 | seconds power is 14 | number of threads is 4 | block size is 64,,,
elapsed time = 445.17 | seconds power is 15 | number of threads is 4 | block size is 64,,,
elapsed time = 450.47 | seconds power is 16 | number of threads is 4 | block size is 64,,,
2048 4 thread done,,,
elapsed time = 5.83 | seconds power is 2 | number of threads is 6 | block size is 4,,,
elapsed time = 11.68 | seconds power is 3 | number of threads is 6 | block size is 4,,,
elapsed time = 17.49 | seconds power is 4 | number of threads is 6 | block size is 4,,,
elapsed time = 23.30 | seconds power is 5 | number of threads is 6 | block size is 4,,,
elapsed time = 29.12 | seconds power is 6 | number of threads is 6 | block size is 4,,,
elapsed time = 34.90 | seconds power is 7 | number of threads is 6 | block size is 4,,,
elapsed time = 40.73 | seconds power is 8 | number of threads is 6 | block size is 4,,,
elapsed time = 46.53 | seconds power is 9 | number of threads is 6 | block size is 4,,,
elapsed time = 52.40 | seconds power is 10 | number of threads is 6 | block size is 4,,,
elapsed time = 58.20 | seconds power is 11 | number of threads is 6 | block size is 4,,,
elapsed time = 64.03 | seconds power is 12 | number of threads is 6 | block size is 4,,,
elapsed time = 69.82 | seconds power is 13 | number of threads is 6 | block size is 4,,,
elapsed time = 75.66 | seconds power is 14 | number of threads is 6 | block size is 4,,,
elapsed time = 81.47 | seconds power is 15 | number of threads is 6 | block size is 4,,,
elapsed time = 87.30 | seconds power is 16 | number of threads is 6 | block size is 4,,,
elapsed time = 91.56 | seconds power is 2 | number of threads is 6 | block size is 8,,,
elapsed time = 95.71 | seconds power is 3 | number of threads is 6 | block size is 8,,,
elapsed time = 99.89 | seconds power is 4 | number of threads is 6 | block size is 8,,,
elapsed time = 104.06 | seconds power is 5 | number of threads is 6 | block size is 8,,,
elapsed time = 108.24 | seconds power is 6 | number of threads is 6 | block size is 8,,,
elapsed time = 112.41 | seconds power is 7 | number of threads is 6 | block size is 8,,,
elapsed time = 116.58 | seconds power is 8 | number of threads is 6 | block size is 8,,,
elapsed time = 120.76 | seconds power is 9 | number of threads is 6 | block size is 8,,,
elapsed time = 124.93 | seconds power is 10 | number of threads is 6 | block size is 8,,,
elapsed time = 129.11 | seconds power is 11 | number of threads is 6 | block size is 8,,,
elapsed time = 133.29 | seconds power is 12 | number of threads is 6 | block size is 8,,,
elapsed time = 137.48 | seconds power is 13 | number of threads is 6 | block size is 8,,,
elapsed time = 141.66 | seconds power is 14 | number of threads is 6 | block size is 8,,,
elapsed time = 145.84 | seconds power is 15 | number of threads is 6 | block size is 8,,,
elapsed time = 150.02 | seconds power is 16 | number of threads is 6 | block size is 8,,,
elapsed time = 154.26 | seconds power is 2 | number of threads is 6 | block size is 16,,,
elapsed time = 158.44 | seconds power is 3 | number of threads is 6 | block size is 16,,,
elapsed time = 162.67 | seconds power is 4 | number of threads is 6 | block size is 16,,,
elapsed time = 166.89 | seconds power is 5 | number of threads is 6 | block size is 16,,,
elapsed time = 171.12 | seconds power is 6 | number of threads is 6 | block size is 16,,,
elapsed time = 175.41 | seconds power is 7 | number of threads is 6 | block size is 16,,,
elapsed time = 179.63 | seconds power is 8 | number of threads is 6 | block size is 16,,,
elapsed time = 183.80 | seconds power is 9 | number of threads is 6 | block size is 16,,,
elapsed time = 187.96 | seconds power is 10 | number of threads is 6 | block size is 16,,,
elapsed time = 192.20 | seconds power is 11 | number of threads is 6 | block size is 16,,,
elapsed time = 196.43 | seconds power is 12 | number of threads is 6 | block size is 16,,,
elapsed time = 200.66 | seconds power is 13 | number of threads is 6 | block size is 16,,,
elapsed time = 204.88 | seconds power is 14 | number of threads is 6 | block size is 16,,,
elapsed time = 209.11 | seconds power is 15 | number of threads is 6 | block size is 16,,,
elapsed time = 213.31 | seconds power is 16 | number of threads is 6 | block size is 16,,,
elapsed time = 217.53 | seconds power is 2 | number of threads is 6 | block size is 32,,,
elapsed time = 221.75 | seconds power is 3 | number of threads is 6 | block size is 32,,,
elapsed time = 226.00 | seconds power is 4 | number of threads is 6 | block size is 32,,,
elapsed time = 230.19 | seconds power is 5 | number of threads is 6 | block size is 32,,,
elapsed time = 234.37 | seconds power is 6 | number of threads is 6 | block size is 32,,,
elapsed time = 238.57 | seconds power is 7 | number of threads is 6 | block size is 32,,,
elapsed time = 242.80 | seconds power is 8 | number of threads is 6 | block size is 32,,,
elapsed time = 247.02 | seconds power is 9 | number of threads is 6 | block size is 32,,,
elapsed time = 251.23 | seconds power is 10 | number of threads is 6 | block size is 32,,,
elapsed time = 255.45 | seconds power is 11 | number of threads is 6 | block size is 32,,,
elapsed time = 259.73 | seconds power is 12 | number of threads is 6 | block size is 32,,,
elapsed time = 263.95 | seconds power is 13 | number of threads is 6 | block size is 32,,,
elapsed time = 268.17 | seconds power is 14 | number of threads is 6 | block size is 32,,,
elapsed time = 272.39 | seconds power is 15 | number of threads is 6 | block size is 32,,,
elapsed time = 276.62 | seconds power is 16 | number of threads is 6 | block size is 32,,,
elapsed time = 281.02 | seconds power is 2 | number of threads is 6 | block size is 64,,,
elapsed time = 285.37 | seconds power is 3 | number of threads is 6 | block size is 64,,,
elapsed time = 289.72 | seconds power is 4 | number of threads is 6 | block size is 64,,,
elapsed time = 294.12 | seconds power is 5 | number of threads is 6 | block size is 64,,,
elapsed time = 298.46 | seconds power is 6 | number of threads is 6 | block size is 64,,,
elapsed time = 302.81 | seconds power is 7 | number of threads is 6 | block size is 64,,,
elapsed time = 307.19 | seconds power is 8 | number of threads is 6 | block size is 64,,,
elapsed time = 311.52 | seconds power is 9 | number of threads is 6 | block size is 64,,,
elapsed time = 315.84 | seconds power is 10 | number of threads is 6 | block size is 64,,,
elapsed time = 320.23 | seconds power is 11 | number of threads is 6 | block size is 64,,,
elapsed time = 324.55 | seconds power is 12 | number of threads is 6 | block size is 64,,,
elapsed time = 329.01 | seconds power is 13 | number of threads is 6 | block size is 64,,,
elapsed time = 333.44 | seconds power is 14 | number of threads is 6 | block size is 64,,,
elapsed time = 337.76 | seconds power is 15 | number of threads is 6 | block size is 64,,,
elapsed time = 342.07 | seconds power is 16 | number of threads is 6 | block size is 64,,,
2048 6 thread done,,,
elapsed time = 4.75 | seconds power is 2 | number of threads is 8 | block size is 4,,,
elapsed time = 9.51 | seconds power is 3 | number of threads is 8 | block size is 4,,,
elapsed time = 14.27 | seconds power is 4 | number of threads is 8 | block size is 4,,,
elapsed time = 19.04 | seconds power is 5 | number of threads is 8 | block size is 4,,,
elapsed time = 23.79 | seconds power is 6 | number of threads is 8 | block size is 4,,,
elapsed time = 28.56 | seconds power is 7 | number of threads is 8 | block size is 4,,,
elapsed time = 33.32 | seconds power is 8 | number of threads is 8 | block size is 4,,,
elapsed time = 38.09 | seconds power is 9 | number of threads is 8 | block size is 4,,,
elapsed time = 42.85 | seconds power is 10 | number of threads is 8 | block size is 4,,,
elapsed time = 47.61 | seconds power is 11 | number of threads is 8 | block size is 4,,,
elapsed time = 52.37 | seconds power is 12 | number of threads is 8 | block size is 4,,,
elapsed time = 57.14 | seconds power is 13 | number of threads is 8 | block size is 4,,,
elapsed time = 61.91 | seconds power is 14 | number of threads is 8 | block size is 4,,,
elapsed time = 66.67 | seconds power is 15 | number of threads is 8 | block size is 4,,,
elapsed time = 71.43 | seconds power is 16 | number of threads is 8 | block size is 4,,,
elapsed time = 74.89 | seconds power is 2 | number of threads is 8 | block size is 8,,,
elapsed time = 78.34 | seconds power is 3 | number of threads is 8 | block size is 8,,,
elapsed time = 81.80 | seconds power is 4 | number of threads is 8 | block size is 8,,,
elapsed time = 85.25 | seconds power is 5 | number of threads is 8 | block size is 8,,,
elapsed time = 88.70 | seconds power is 6 | number of threads is 8 | block size is 8,,,
elapsed time = 92.16 | seconds power is 7 | number of threads is 8 | block size is 8,,,
elapsed time = 95.62 | seconds power is 8 | number of threads is 8 | block size is 8,,,
elapsed time = 99.07 | seconds power is 9 | number of threads is 8 | block size is 8,,,
elapsed time = 102.53 | seconds power is 10 | number of threads is 8 | block size is 8,,,
elapsed time = 105.99 | seconds power is 11 | number of threads is 8 | block size is 8,,,
elapsed time = 109.45 | seconds power is 12 | number of threads is 8 | block size is 8,,,
elapsed time = 112.91 | seconds power is 13 | number of threads is 8 | block size is 8,,,
elapsed time = 116.37 | seconds power is 14 | number of threads is 8 | block size is 8,,,
elapsed time = 119.83 | seconds power is 15 | number of threads is 8 | block size is 8,,,
elapsed time = 123.33 | seconds power is 16 | number of threads is 8 | block size is 8,,,
elapsed time = 126.71 | seconds power is 2 | number of threads is 8 | block size is 16,,,
elapsed time = 130.09 | seconds power is 3 | number of threads is 8 | block size is 16,,,
elapsed time = 133.47 | seconds power is 4 | number of threads is 8 | block size is 16,,,
elapsed time = 136.86 | seconds power is 5 | number of threads is 8 | block size is 16,,,
elapsed time = 140.24 | seconds power is 6 | number of threads is 8 | block size is 16,,,
elapsed time = 143.62 | seconds power is 7 | number of threads is 8 | block size is 16,,,
elapsed time = 146.99 | seconds power is 8 | number of threads is 8 | block size is 16,,,
elapsed time = 150.38 | seconds power is 9 | number of threads is 8 | block size is 16,,,
elapsed time = 153.77 | seconds power is 10 | number of threads is 8 | block size is 16,,,
elapsed time = 157.16 | seconds power is 11 | number of threads is 8 | block size is 16,,,
elapsed time = 160.55 | seconds power is 12 | number of threads is 8 | block size is 16,,,
elapsed time = 163.93 | seconds power is 13 | number of threads is 8 | block size is 16,,,
elapsed time = 167.32 | seconds power is 14 | number of threads is 8 | block size is 16,,,
elapsed time = 170.70 | seconds power is 15 | number of threads is 8 | block size is 16,,,
elapsed time = 174.10 | seconds power is 16 | number of threads is 8 | block size is 16,,,
elapsed time = 177.52 | seconds power is 2 | number of threads is 8 | block size is 32,,,
elapsed time = 180.94 | seconds power is 3 | number of threads is 8 | block size is 32,,,
elapsed time = 184.36 | seconds power is 4 | number of threads is 8 | block size is 32,,,
elapsed time = 187.80 | seconds power is 5 | number of threads is 8 | block size is 32,,,
elapsed time = 191.22 | seconds power is 6 | number of threads is 8 | block size is 32,,,
elapsed time = 194.64 | seconds power is 7 | number of threads is 8 | block size is 32,,,
elapsed time = 198.07 | seconds power is 8 | number of threads is 8 | block size is 32,,,
elapsed time = 201.49 | seconds power is 9 | number of threads is 8 | block size is 32,,,
elapsed time = 204.92 | seconds power is 10 | number of threads is 8 | block size is 32,,,
elapsed time = 208.34 | seconds power is 11 | number of threads is 8 | block size is 32,,,
elapsed time = 211.76 | seconds power is 12 | number of threads is 8 | block size is 32,,,
elapsed time = 215.18 | seconds power is 13 | number of threads is 8 | block size is 32,,,
elapsed time = 218.61 | seconds power is 14 | number of threads is 8 | block size is 32,,,
elapsed time = 222.04 | seconds power is 15 | number of threads is 8 | block size is 32,,,
elapsed time = 225.46 | seconds power is 16 | number of threads is 8 | block size is 32,,,
elapsed time = 228.79 | seconds power is 2 | number of threads is 8 | block size is 64,,,
elapsed time = 232.11 | seconds power is 3 | number of threads is 8 | block size is 64,,,
elapsed time = 235.44 | seconds power is 4 | number of threads is 8 | block size is 64,,,
elapsed time = 238.76 | seconds power is 5 | number of threads is 8 | block size is 64,,,
elapsed time = 242.08 | seconds power is 6 | number of threads is 8 | block size is 64,,,
elapsed time = 245.40 | seconds power is 7 | number of threads is 8 | block size is 64,,,
elapsed time = 248.73 | seconds power is 8 | number of threads is 8 | block size is 64,,,
elapsed time = 252.05 | seconds power is 9 | number of threads is 8 | block size is 64,,,
elapsed time = 255.37 | seconds power is 10 | number of threads is 8 | block size is 64,,,
elapsed time = 258.69 | seconds power is 11 | number of threads is 8 | block size is 64,,,
elapsed time = 262.02 | seconds power is 12 | number of threads is 8 | block size is 64,,,
elapsed time = 265.34 | seconds power is 13 | number of threads is 8 | block size is 64,,,
elapsed time = 268.66 | seconds power is 14 | number of threads is 8 | block size is 64,,,
elapsed time = 271.98 | seconds power is 15 | number of threads is 8 | block size is 64,,,
elapsed time = 275.29 | seconds power is 16 | number of threads is 8 | block size is 64,,,
2048 8 thread done,,,
elapsed time = 4.53 | seconds power is 2 | number of threads is 10 | block size is 4,,,
elapsed time = 9.15 | seconds power is 3 | number of threads is 10 | block size is 4,,,
elapsed time = 13.53 | seconds power is 4 | number of threads is 10 | block size is 4,,,
elapsed time = 17.99 | seconds power is 5 | number of threads is 10 | block size is 4,,,
elapsed time = 22.41 | seconds power is 6 | number of threads is 10 | block size is 4,,,
elapsed time = 26.88 | seconds power is 7 | number of threads is 10 | block size is 4,,,
elapsed time = 31.30 | seconds power is 8 | number of threads is 10 | block size is 4,,,
elapsed time = 35.73 | seconds power is 9 | number of threads is 10 | block size is 4,,,
elapsed time = 40.14 | seconds power is 10 | number of threads is 10 | block size is 4,,,
elapsed time = 44.53 | seconds power is 11 | number of threads is 10 | block size is 4,,,
elapsed time = 48.88 | seconds power is 12 | number of threads is 10 | block size is 4,,,
elapsed time = 53.27 | seconds power is 13 | number of threads is 10 | block size is 4,,,
elapsed time = 57.78 | seconds power is 14 | number of threads is 10 | block size is 4,,,
elapsed time = 62.13 | seconds power is 15 | number of threads is 10 | block size is 4,,,
elapsed time = 66.56 | seconds power is 16 | number of threads is 10 | block size is 4,,,
elapsed time = 70.01 | seconds power is 2 | number of threads is 10 | block size is 8,,,
elapsed time = 73.57 | seconds power is 3 | number of threads is 10 | block size is 8,,,
elapsed time = 77.35 | seconds power is 4 | number of threads is 10 | block size is 8,,,
elapsed time = 80.86 | seconds power is 5 | number of threads is 10 | block size is 8,,,
elapsed time = 84.40 | seconds power is 6 | number of threads is 10 | block size is 8,,,
elapsed time = 88.15 | seconds power is 7 | number of threads is 10 | block size is 8,,,
elapsed time = 91.71 | seconds power is 8 | number of threads is 10 | block size is 8,,,
elapsed time = 95.53 | seconds power is 9 | number of threads is 10 | block size is 8,,,
elapsed time = 99.03 | seconds power is 10 | number of threads is 10 | block size is 8,,,
elapsed time = 102.60 | seconds power is 11 | number of threads is 10 | block size is 8,,,
elapsed time = 106.39 | seconds power is 12 | number of threads is 10 | block size is 8,,,
elapsed time = 109.94 | seconds power is 13 | number of threads is 10 | block size is 8,,,
elapsed time = 113.49 | seconds power is 14 | number of threads is 10 | block size is 8,,,
elapsed time = 117.14 | seconds power is 15 | number of threads is 10 | block size is 8,,,
elapsed time = 120.67 | seconds power is 16 | number of threads is 10 | block size is 8,,,
elapsed time = 124.02 | seconds power is 2 | number of threads is 10 | block size is 16,,,
elapsed time = 127.40 | seconds power is 3 | number of threads is 10 | block size is 16,,,
elapsed time = 130.94 | seconds power is 4 | number of threads is 10 | block size is 16,,,
elapsed time = 134.16 | seconds power is 5 | number of threads is 10 | block size is 16,,,
elapsed time = 137.52 | seconds power is 6 | number of threads is 10 | block size is 16,,,
elapsed time = 141.07 | seconds power is 7 | number of threads is 10 | block size is 16,,,
elapsed time = 144.42 | seconds power is 8 | number of threads is 10 | block size is 16,,,
elapsed time = 147.95 | seconds power is 9 | number of threads is 10 | block size is 16,,,
elapsed time = 151.30 | seconds power is 10 | number of threads is 10 | block size is 16,,,
elapsed time = 154.64 | seconds power is 11 | number of threads is 10 | block size is 16,,,
elapsed time = 158.03 | seconds power is 12 | number of threads is 10 | block size is 16,,,
elapsed time = 161.37 | seconds power is 13 | number of threads is 10 | block size is 16,,,
elapsed time = 164.96 | seconds power is 14 | number of threads is 10 | block size is 16,,,
elapsed time = 168.33 | seconds power is 15 | number of threads is 10 | block size is 16,,,
elapsed time = 171.69 | seconds power is 16 | number of threads is 10 | block size is 16,,,
