1024x1024 bmm  3,,,
elapsed time,power,no of threads,
elapsed time = 29.35 | seconds power is 12 | number of threads is 6 | block size is 32,,,
elapsed time = 29.86 | seconds power is 13 | number of threads is 6 | block size is 32,,,
elapsed time = 30.37 | seconds power is 14 | number of threads is 6 | block size is 32,,,
elapsed time = 30.89 | seconds power is 15 | number of threads is 6 | block size is 32,,,
elapsed time = 31.40 | seconds power is 16 | number of threads is 6 | block size is 32,,,
elapsed time = 31.91 | seconds power is 2 | number of threads is 6 | block size is 64,,,
elapsed time = 32.42 | seconds power is 3 | number of threads is 6 | block size is 64,,,
elapsed time = 32.93 | seconds power is 4 | number of threads is 6 | block size is 64,,,
elapsed time = 33.45 | seconds power is 5 | number of threads is 6 | block size is 64,,,
elapsed time = 33.96 | seconds power is 6 | number of threads is 6 | block size is 64,,,
elapsed time = 34.47 | seconds power is 7 | number of threads is 6 | block size is 64,,,
elapsed time = 34.98 | seconds power is 8 | number of threads is 6 | block size is 64,,,
elapsed time = 35.49 | seconds power is 9 | number of threads is 6 | block size is 64,,,
elapsed time = 36.00 | seconds power is 10 | number of threads is 6 | block size is 64,,,
elapsed time = 36.51 | seconds power is 11 | number of threads is 6 | block size is 64,,,
elapsed time = 37.02 | seconds power is 12 | number of threads is 6 | block size is 64,,,
elapsed time = 37.53 | seconds power is 13 | number of threads is 6 | block size is 64,,,
elapsed time = 38.04 | seconds power is 14 | number of threads is 6 | block size is 64,,,
elapsed time = 38.55 | seconds power is 15 | number of threads is 6 | block size is 64,,,
elapsed time = 39.06 | seconds power is 16 | number of threads is 6 | block size is 64,,,
1024 6 thread done,,,
elapsed time = 0.48 | seconds power is 2 | number of threads is 8 | block size is 4,,,
elapsed time = 0.95 | seconds power is 3 | number of threads is 8 | block size is 4,,,
elapsed time = 1.42 | seconds power is 4 | number of threads is 8 | block size is 4,,,
elapsed time = 1.89 | seconds power is 5 | number of threads is 8 | block size is 4,,,
elapsed time = 2.35 | seconds power is 6 | number of threads is 8 | block size is 4,,,
elapsed time = 2.82 | seconds power is 7 | number of threads is 8 | block size is 4,,,
elapsed time = 3.29 | seconds power is 8 | number of threads is 8 | block size is 4,,,
elapsed time = 3.76 | seconds power is 9 | number of threads is 8 | block size is 4,,,
elapsed time = 4.23 | seconds power is 10 | number of threads is 8 | block size is 4,,,
elapsed time = 4.70 | seconds power is 11 | number of threads is 8 | block size is 4,,,
elapsed time = 5.17 | seconds power is 12 | number of threads is 8 | block size is 4,,,
elapsed time = 5.63 | seconds power is 13 | number of threads is 8 | block size is 4,,,
elapsed time = 6.10 | seconds power is 14 | number of threads is 8 | block size is 4,,,
elapsed time = 6.58 | seconds power is 15 | number of threads is 8 | block size is 4,,,
elapsed time = 7.05 | seconds power is 16 | number of threads is 8 | block size is 4,,,
elapsed time = 7.46 | seconds power is 2 | number of threads is 8 | block size is 8,,,
elapsed time = 7.87 | seconds power is 3 | number of threads is 8 | block size is 8,,,
elapsed time = 8.28 | seconds power is 4 | number of threads is 8 | block size is 8,,,
elapsed time = 8.69 | seconds power is 5 | number of threads is 8 | block size is 8,,,
elapsed time = 9.10 | seconds power is 6 | number of threads is 8 | block size is 8,,,
elapsed time = 9.51 | seconds power is 7 | number of threads is 8 | block size is 8,,,
elapsed time = 9.93 | seconds power is 8 | number of threads is 8 | block size is 8,,,
elapsed time = 10.34 | seconds power is 9 | number of threads is 8 | block size is 8,,,
elapsed time = 10.75 | seconds power is 10 | number of threads is 8 | block size is 8,,,
elapsed time = 11.16 | seconds power is 11 | number of threads is 8 | block size is 8,,,
elapsed time = 11.57 | seconds power is 12 | number of threads is 8 | block size is 8,,,
elapsed time = 11.99 | seconds power is 13 | number of threads is 8 | block size is 8,,,
elapsed time = 12.40 | seconds power is 14 | number of threads is 8 | block size is 8,,,
elapsed time = 12.81 | seconds power is 15 | number of threads is 8 | block size is 8,,,
elapsed time = 13.22 | seconds power is 16 | number of threads is 8 | block size is 8,,,
elapsed time = 13.61 | seconds power is 2 | number of threads is 8 | block size is 16,,,
elapsed time = 14.00 | seconds power is 3 | number of threads is 8 | block size is 16,,,
elapsed time = 14.39 | seconds power is 4 | number of threads is 8 | block size is 16,,,
elapsed time = 14.78 | seconds power is 5 | number of threads is 8 | block size is 16,,,
elapsed time = 15.17 | seconds power is 6 | number of threads is 8 | block size is 16,,,
elapsed time = 15.56 | seconds power is 7 | number of threads is 8 | block size is 16,,,
elapsed time = 15.95 | seconds power is 8 | number of threads is 8 | block size is 16,,,
elapsed time = 16.34 | seconds power is 9 | number of threads is 8 | block size is 16,,,
elapsed time = 16.73 | seconds power is 10 | number of threads is 8 | block size is 16,,,
elapsed time = 17.12 | seconds power is 11 | number of threads is 8 | block size is 16,,,
elapsed time = 17.51 | seconds power is 12 | number of threads is 8 | block size is 16,,,
elapsed time = 17.90 | seconds power is 13 | number of threads is 8 | block size is 16,,,
elapsed time = 18.29 | seconds power is 14 | number of threads is 8 | block size is 16,,,
elapsed time = 18.68 | seconds power is 15 | number of threads is 8 | block size is 16,,,
elapsed time = 19.07 | seconds power is 16 | number of threads is 8 | block size is 16,,,
elapsed time = 19.46 | seconds power is 2 | number of threads is 8 | block size is 32,,,
elapsed time = 19.85 | seconds power is 3 | number of threads is 8 | block size is 32,,,
elapsed time = 20.24 | seconds power is 4 | number of threads is 8 | block size is 32,,,
elapsed time = 20.63 | seconds power is 5 | number of threads is 8 | block size is 32,,,
elapsed time = 21.02 | seconds power is 6 | number of threads is 8 | block size is 32,,,
elapsed time = 21.41 | seconds power is 7 | number of threads is 8 | block size is 32,,,
elapsed time = 21.79 | seconds power is 8 | number of threads is 8 | block size is 32,,,
elapsed time = 22.18 | seconds power is 9 | number of threads is 8 | block size is 32,,,
elapsed time = 22.58 | seconds power is 10 | number of threads is 8 | block size is 32,,,
elapsed time = 22.96 | seconds power is 11 | number of threads is 8 | block size is 32,,,
elapsed time = 23.35 | seconds power is 12 | number of threads is 8 | block size is 32,,,
elapsed time = 23.74 | seconds power is 13 | number of threads is 8 | block size is 32,,,
elapsed time = 24.13 | seconds power is 14 | number of threads is 8 | block size is 32,,,
elapsed time = 24.52 | seconds power is 15 | number of threads is 8 | block size is 32,,,
elapsed time = 24.91 | seconds power is 16 | number of threads is 8 | block size is 32,,,
elapsed time = 25.30 | seconds power is 2 | number of threads is 8 | block size is 64,,,
elapsed time = 25.68 | seconds power is 3 | number of threads is 8 | block size is 64,,,
elapsed time = 26.07 | seconds power is 4 | number of threads is 8 | block size is 64,,,
elapsed time = 26.46 | seconds power is 5 | number of threads is 8 | block size is 64,,,
elapsed time = 26.84 | seconds power is 6 | number of threads is 8 | block size is 64,,,
elapsed time = 27.23 | seconds power is 7 | number of threads is 8 | block size is 64,,,
elapsed time = 27.61 | seconds power is 8 | number of threads is 8 | block size is 64,,,
elapsed time = 28.00 | seconds power is 9 | number of threads is 8 | block size is 64,,,
elapsed time = 28.39 | seconds power is 10 | number of threads is 8 | block size is 64,,,
elapsed time = 28.80 | seconds power is 11 | number of threads is 8 | block size is 64,,,
elapsed time = 29.19 | seconds power is 12 | number of threads is 8 | block size is 64,,,
elapsed time = 29.58 | seconds power is 13 | number of threads is 8 | block size is 64,,,
elapsed time = 29.96 | seconds power is 14 | number of threads is 8 | block size is 64,,,
elapsed time = 30.35 | seconds power is 15 | number of threads is 8 | block size is 64,,,
elapsed time = 30.74 | seconds power is 16 | number of threads is 8 | block size is 64,,,
1024 8 thread done,,,
elapsed time = 0.48 | seconds power is 2 | number of threads is 10 | block size is 4,,,
elapsed time = 0.97 | seconds power is 3 | number of threads is 10 | block size is 4,,,
elapsed time = 1.52 | seconds power is 4 | number of threads is 10 | block size is 4,,,
elapsed time = 2.00 | seconds power is 5 | number of threads is 10 | block size is 4,,,
elapsed time = 2.48 | seconds power is 6 | number of threads is 10 | block size is 4,,,
elapsed time = 2.96 | seconds power is 7 | number of threads is 10 | block size is 4,,,
elapsed time = 3.45 | seconds power is 8 | number of threads is 10 | block size is 4,,,
elapsed time = 3.93 | seconds power is 9 | number of threads is 10 | block size is 4,,,
elapsed time = 4.41 | seconds power is 10 | number of threads is 10 | block size is 4,,,
elapsed time = 4.89 | seconds power is 11 | number of threads is 10 | block size is 4,,,
elapsed time = 5.38 | seconds power is 12 | number of threads is 10 | block size is 4,,,
elapsed time = 5.86 | seconds power is 13 | number of threads is 10 | block size is 4,,,
elapsed time = 6.35 | seconds power is 14 | number of threads is 10 | block size is 4,,,
elapsed time = 6.85 | seconds power is 15 | number of threads is 10 | block size is 4,,,
elapsed time = 7.33 | seconds power is 16 | number of threads is 10 | block size is 4,,,
elapsed time = 7.76 | seconds power is 2 | number of threads is 10 | block size is 8,,,
elapsed time = 8.18 | seconds power is 3 | number of threads is 10 | block size is 8,,,
elapsed time = 8.62 | seconds power is 4 | number of threads is 10 | block size is 8,,,
elapsed time = 9.05 | seconds power is 5 | number of threads is 10 | block size is 8,,,
elapsed time = 9.47 | seconds power is 6 | number of threads is 10 | block size is 8,,,
elapsed time = 9.92 | seconds power is 7 | number of threads is 10 | block size is 8,,,
elapsed time = 10.33 | seconds power is 8 | number of threads is 10 | block size is 8,,,
elapsed time = 10.76 | seconds power is 9 | number of threads is 10 | block size is 8,,,
elapsed time = 11.19 | seconds power is 10 | number of threads is 10 | block size is 8,,,
elapsed time = 11.62 | seconds power is 11 | number of threads is 10 | block size is 8,,,
elapsed time = 12.05 | seconds power is 12 | number of threads is 10 | block size is 8,,,
elapsed time = 12.48 | seconds power is 13 | number of threads is 10 | block size is 8,,,
elapsed time = 12.91 | seconds power is 14 | number of threads is 10 | block size is 8,,,
elapsed time = 13.34 | seconds power is 15 | number of threads is 10 | block size is 8,,,
elapsed time = 13.77 | seconds power is 16 | number of threads is 10 | block size is 8,,,
elapsed time = 14.20 | seconds power is 2 | number of threads is 10 | block size is 16,,,
elapsed time = 14.61 | seconds power is 3 | number of threads is 10 | block size is 16,,,
elapsed time = 15.03 | seconds power is 4 | number of threads is 10 | block size is 16,,,
elapsed time = 15.45 | seconds power is 5 | number of threads is 10 | block size is 16,,,
elapsed time = 15.88 | seconds power is 6 | number of threads is 10 | block size is 16,,,
elapsed time = 16.31 | seconds power is 7 | number of threads is 10 | block size is 16,,,
elapsed time = 16.72 | seconds power is 8 | number of threads is 10 | block size is 16,,,
elapsed time = 17.15 | seconds power is 9 | number of threads is 10 | block size is 16,,,
elapsed time = 17.57 | seconds power is 10 | number of threads is 10 | block size is 16,,,
elapsed time = 18.02 | seconds power is 11 | number of threads is 10 | block size is 16,,,
elapsed time = 18.42 | seconds power is 12 | number of threads is 10 | block size is 16,,,
elapsed time = 18.84 | seconds power is 13 | number of threads is 10 | block size is 16,,,
elapsed time = 19.25 | seconds power is 14 | number of threads is 10 | block size is 16,,,
elapsed time = 19.67 | seconds power is 15 | number of threads is 10 | block size is 16,,,
elapsed time = 20.15 | seconds power is 16 | number of threads is 10 | block size is 16,,,
elapsed time = 20.56 | seconds power is 2 | number of threads is 10 | block size is 32,,,
elapsed time = 20.94 | seconds power is 3 | number of threads is 10 | block size is 32,,,
elapsed time = 21.33 | seconds power is 4 | number of threads is 10 | block size is 32,,,
elapsed time = 21.78 | seconds power is 5 | number of threads is 10 | block size is 32,,,
elapsed time = 22.16 | seconds power is 6 | number of threads is 10 | block size is 32,,,
elapsed time = 22.54 | seconds power is 7 | number of threads is 10 | block size is 32,,,
elapsed time = 22.92 | seconds power is 8 | number of threads is 10 | block size is 32,,,
elapsed time = 23.31 | seconds power is 9 | number of threads is 10 | block size is 32,,,
elapsed time = 23.75 | seconds power is 10 | number of threads is 10 | block size is 32,,,
elapsed time = 24.19 | seconds power is 11 | number of threads is 10 | block size is 32,,,
elapsed time = 24.60 | seconds power is 12 | number of threads is 10 | block size is 32,,,
elapsed time = 25.04 | seconds power is 13 | number of threads is 10 | block size is 32,,,
elapsed time = 25.49 | seconds power is 14 | number of threads is 10 | block size is 32,,,
elapsed time = 25.90 | seconds power is 15 | number of threads is 10 | block size is 32,,,
elapsed time = 26.34 | seconds power is 16 | number of threads is 10 | block size is 32,,,
elapsed time = 26.78 | seconds power is 2 | number of threads is 10 | block size is 64,,,
elapsed time = 27.25 | seconds power is 3 | number of threads is 10 | block size is 64,,,
elapsed time = 27.68 | seconds power is 4 | number of threads is 10 | block size is 64,,,
elapsed time = 28.12 | seconds power is 5 | number of threads is 10 | block size is 64,,,
elapsed time = 28.56 | seconds power is 6 | number of threads is 10 | block size is 64,,,
elapsed time = 29.00 | seconds power is 7 | number of threads is 10 | block size is 64,,,
elapsed time = 29.44 | seconds power is 8 | number of threads is 10 | block size is 64,,,
elapsed time = 29.90 | seconds power is 9 | number of threads is 10 | block size is 64,,,
elapsed time = 30.34 | seconds power is 10 | number of threads is 10 | block size is 64,,,
elapsed time = 30.79 | seconds power is 11 | number of threads is 10 | block size is 64,,,
elapsed time = 31.23 | seconds power is 12 | number of threads is 10 | block size is 64,,,
