2048x2048 bmm 2,,,
elapsed time,power,no of threads,
elapsed time = 318.71 | seconds power is 6 | number of threads is 4 | block size is 32,,,
elapsed time = 324.12 | seconds power is 7 | number of threads is 4 | block size is 32,,,
elapsed time = 329.52 | seconds power is 8 | number of threads is 4 | block size is 32,,,
elapsed time = 334.94 | seconds power is 9 | number of threads is 4 | block size is 32,,,
elapsed time = 340.37 | seconds power is 10 | number of threads is 4 | block size is 32,,,
elapsed time = 345.78 | seconds power is 11 | number of threads is 4 | block size is 32,,,
elapsed time = 351.18 | seconds power is 12 | number of threads is 4 | block size is 32,,,
elapsed time = 356.59 | seconds power is 13 | number of threads is 4 | block size is 32,,,
elapsed time = 362.00 | seconds power is 14 | number of threads is 4 | block size is 32,,,
elapsed time = 367.40 | seconds power is 15 | number of threads is 4 | block size is 32,,,
elapsed time = 372.81 | seconds power is 16 | number of threads is 4 | block size is 32,,,
elapsed time = 378.08 | seconds power is 2 | number of threads is 4 | block size is 64,,,
elapsed time = 383.35 | seconds power is 3 | number of threads is 4 | block size is 64,,,
elapsed time = 388.62 | seconds power is 4 | number of threads is 4 | block size is 64,,,
elapsed time = 393.89 | seconds power is 5 | number of threads is 4 | block size is 64,,,
elapsed time = 399.16 | seconds power is 6 | number of threads is 4 | block size is 64,,,
elapsed time = 404.43 | seconds power is 7 | number of threads is 4 | block size is 64,,,
elapsed time = 409.70 | seconds power is 8 | number of threads is 4 | block size is 64,,,
elapsed time = 414.98 | seconds power is 9 | number of threads is 4 | block size is 64,,,
elapsed time = 420.25 | seconds power is 10 | number of threads is 4 | block size is 64,,,
elapsed time = 425.52 | seconds power is 11 | number of threads is 4 | block size is 64,,,
elapsed time = 430.80 | seconds power is 12 | number of threads is 4 | block size is 64,,,
elapsed time = 436.07 | seconds power is 13 | number of threads is 4 | block size is 64,,,
elapsed time = 441.34 | seconds power is 14 | number of threads is 4 | block size is 64,,,
elapsed time = 446.60 | seconds power is 15 | number of threads is 4 | block size is 64,,,
elapsed time = 451.86 | seconds power is 16 | number of threads is 4 | block size is 64,,,
2048 4 thread done,,,
elapsed time = 5.94 | seconds power is 2 | number of threads is 6 | block size is 4,,,
elapsed time = 11.96 | seconds power is 3 | number of threads is 6 | block size is 4,,,
elapsed time = 17.90 | seconds power is 4 | number of threads is 6 | block size is 4,,,
elapsed time = 23.84 | seconds power is 5 | number of threads is 6 | block size is 4,,,
elapsed time = 29.80 | seconds power is 6 | number of threads is 6 | block size is 4,,,
elapsed time = 35.78 | seconds power is 7 | number of threads is 6 | block size is 4,,,
elapsed time = 41.72 | seconds power is 8 | number of threads is 6 | block size is 4,,,
elapsed time = 47.72 | seconds power is 9 | number of threads is 6 | block size is 4,,,
elapsed time = 53.69 | seconds power is 10 | number of threads is 6 | block size is 4,,,
elapsed time = 59.67 | seconds power is 11 | number of threads is 6 | block size is 4,,,
elapsed time = 65.66 | seconds power is 12 | number of threads is 6 | block size is 4,,,
elapsed time = 71.68 | seconds power is 13 | number of threads is 6 | block size is 4,,,
elapsed time = 77.66 | seconds power is 14 | number of threads is 6 | block size is 4,,,
elapsed time = 83.67 | seconds power is 15 | number of threads is 6 | block size is 4,,,
elapsed time = 89.67 | seconds power is 16 | number of threads is 6 | block size is 4,,,
elapsed time = 93.83 | seconds power is 2 | number of threads is 6 | block size is 8,,,
elapsed time = 98.00 | seconds power is 3 | number of threads is 6 | block size is 8,,,
elapsed time = 102.27 | seconds power is 4 | number of threads is 6 | block size is 8,,,
elapsed time = 106.44 | seconds power is 5 | number of threads is 6 | block size is 8,,,
