1024x1024 bmm transpose 1,,,
elapsed time,power,no of threads,
elapsed time = 44.77 | seconds power is 6 | number of threads is 4 | block size is 64,,,
elapsed time = 45.42 | seconds power is 7 | number of threads is 4 | block size is 64,,,
elapsed time = 46.06 | seconds power is 8 | number of threads is 4 | block size is 64,,,
elapsed time = 46.71 | seconds power is 9 | number of threads is 4 | block size is 64,,,
elapsed time = 47.34 | seconds power is 10 | number of threads is 4 | block size is 64,,,
elapsed time = 47.99 | seconds power is 11 | number of threads is 4 | block size is 64,,,
elapsed time = 48.63 | seconds power is 12 | number of threads is 4 | block size is 64,,,
elapsed time = 49.27 | seconds power is 13 | number of threads is 4 | block size is 64,,,
elapsed time = 49.91 | seconds power is 14 | number of threads is 4 | block size is 64,,,
elapsed time = 50.55 | seconds power is 15 | number of threads is 4 | block size is 64,,,
elapsed time = 51.19 | seconds power is 16 | number of threads is 4 | block size is 64,,,
1024 4 thread done,,,
elapsed time = 0.62 | seconds power is 2 | number of threads is 6 | block size is 4,,,
elapsed time = 1.21 | seconds power is 3 | number of threads is 6 | block size is 4,,,
elapsed time = 1.81 | seconds power is 4 | number of threads is 6 | block size is 4,,,
elapsed time = 2.40 | seconds power is 5 | number of threads is 6 | block size is 4,,,
elapsed time = 3.00 | seconds power is 6 | number of threads is 6 | block size is 4,,,
elapsed time = 3.59 | seconds power is 7 | number of threads is 6 | block size is 4,,,
elapsed time = 4.19 | seconds power is 8 | number of threads is 6 | block size is 4,,,
elapsed time = 4.79 | seconds power is 9 | number of threads is 6 | block size is 4,,,
elapsed time = 5.39 | seconds power is 10 | number of threads is 6 | block size is 4,,,
elapsed time = 5.98 | seconds power is 11 | number of threads is 6 | block size is 4,,,
elapsed time = 6.58 | seconds power is 12 | number of threads is 6 | block size is 4,,,
elapsed time = 7.18 | seconds power is 13 | number of threads is 6 | block size is 4,,,
elapsed time = 7.78 | seconds power is 14 | number of threads is 6 | block size is 4,,,
elapsed time = 8.38 | seconds power is 15 | number of threads is 6 | block size is 4,,,
elapsed time = 8.98 | seconds power is 16 | number of threads is 6 | block size is 4,,,
elapsed time = 9.52 | seconds power is 2 | number of threads is 6 | block size is 8,,,
elapsed time = 10.05 | seconds power is 3 | number of threads is 6 | block size is 8,,,
elapsed time = 10.58 | seconds power is 4 | number of threads is 6 | block size is 8,,,
elapsed time = 11.11 | seconds power is 5 | number of threads is 6 | block size is 8,,,
elapsed time = 11.65 | seconds power is 6 | number of threads is 6 | block size is 8,,,
elapsed time = 12.18 | seconds power is 7 | number of threads is 6 | block size is 8,,,
elapsed time = 12.72 | seconds power is 8 | number of threads is 6 | block size is 8,,,
elapsed time = 13.25 | seconds power is 9 | number of threads is 6 | block size is 8,,,
elapsed time = 13.78 | seconds power is 10 | number of threads is 6 | block size is 8,,,
elapsed time = 14.32 | seconds power is 11 | number of threads is 6 | block size is 8,,,
elapsed time = 14.85 | seconds power is 12 | number of threads is 6 | block size is 8,,,
elapsed time = 15.39 | seconds power is 13 | number of threads is 6 | block size is 8,,,
elapsed time = 15.92 | seconds power is 14 | number of threads is 6 | block size is 8,,,
elapsed time = 16.45 | seconds power is 15 | number of threads is 6 | block size is 8,,,
elapsed time = 16.99 | seconds power is 16 | number of threads is 6 | block size is 8,,,
elapsed time = 17.49 | seconds power is 2 | number of threads is 6 | block size is 16,,,
elapsed time = 17.99 | seconds power is 3 | number of threads is 6 | block size is 16,,,
elapsed time = 18.49 | seconds power is 4 | number of threads is 6 | block size is 16,,,
elapsed time = 18.99 | seconds power is 5 | number of threads is 6 | block size is 16,,,
elapsed time = 19.50 | seconds power is 6 | number of threads is 6 | block size is 16,,,
elapsed time = 20.00 | seconds power is 7 | number of threads is 6 | block size is 16,,,
elapsed time = 20.50 | seconds power is 8 | number of threads is 6 | block size is 16,,,
elapsed time = 21.00 | seconds power is 9 | number of threads is 6 | block size is 16,,,
elapsed time = 21.50 | seconds power is 10 | number of threads is 6 | block size is 16,,,
elapsed time = 22.01 | seconds power is 11 | number of threads is 6 | block size is 16,,,
elapsed time = 22.51 | seconds power is 12 | number of threads is 6 | block size is 16,,,
elapsed time = 23.01 | seconds power is 13 | number of threads is 6 | block size is 16,,,
elapsed time = 23.51 | seconds power is 14 | number of threads is 6 | block size is 16,,,
elapsed time = 24.01 | seconds power is 15 | number of threads is 6 | block size is 16,,,
elapsed time = 24.52 | seconds power is 16 | number of threads is 6 | block size is 16,,,
elapsed time = 25.05 | seconds power is 2 | number of threads is 6 | block size is 32,,,
elapsed time = 25.58 | seconds power is 3 | number of threads is 6 | block size is 32,,,
elapsed time = 26.11 | seconds power is 4 | number of threads is 6 | block size is 32,,,
elapsed time = 26.64 | seconds power is 5 | number of threads is 6 | block size is 32,,,
elapsed time = 27.17 | seconds power is 6 | number of threads is 6 | block size is 32,,,
elapsed time = 27.70 | seconds power is 7 | number of threads is 6 | block size is 32,,,
elapsed time = 28.23 | seconds power is 8 | number of threads is 6 | block size is 32,,,
elapsed time = 28.77 | seconds power is 9 | number of threads is 6 | block size is 32,,,
elapsed time = 29.29 | seconds power is 10 | number of threads is 6 | block size is 32,,,
elapsed time = 29.82 | seconds power is 11 | number of threads is 6 | block size is 32,,,
elapsed time = 30.35 | seconds power is 12 | number of threads is 6 | block size is 32,,,
elapsed time = 30.88 | seconds power is 13 | number of threads is 6 | block size is 32,,,
elapsed time = 31.41 | seconds power is 14 | number of threads is 6 | block size is 32,,,
elapsed time = 31.94 | seconds power is 15 | number of threads is 6 | block size is 32,,,
elapsed time = 32.47 | seconds power is 16 | number of threads is 6 | block size is 32,,,
elapsed time = 32.99 | seconds power is 2 | number of threads is 6 | block size is 64,,,
elapsed time = 33.52 | seconds power is 3 | number of threads is 6 | block size is 64,,,
elapsed time = 34.04 | seconds power is 4 | number of threads is 6 | block size is 64,,,
elapsed time = 34.57 | seconds power is 5 | number of threads is 6 | block size is 64,,,
elapsed time = 35.10 | seconds power is 6 | number of threads is 6 | block size is 64,,,
elapsed time = 35.62 | seconds power is 7 | number of threads is 6 | block size is 64,,,
elapsed time = 36.15 | seconds power is 8 | number of threads is 6 | block size is 64,,,
elapsed time = 36.68 | seconds power is 9 | number of threads is 6 | block size is 64,,,
elapsed time = 37.20 | seconds power is 10 | number of threads is 6 | block size is 64,,,
elapsed time = 37.73 | seconds power is 11 | number of threads is 6 | block size is 64,,,
elapsed time = 38.26 | seconds power is 12 | number of threads is 6 | block size is 64,,,
