512x512 bmm transpose 4,,,
Elapsed time,Power,No of threads,Block size
1.85,2,14,16
1.91,3,14,16
1.98,4,14,16
2.04,5,14,16
2.09,6,14,16
2.15,7,14,16
2.2,8,14,16
2.27,9,14,16
2.33,10,14,16
2.39,11,14,16
2.46,12,14,16
2.52,13,14,16
2.59,14,14,16
2.65,15,14,16
2.71,16,14,16
2.77,2,14,32
2.83,3,14,32
2.9,4,14,32
2.97,5,14,32
3.03,6,14,32
3.1,7,14,32
3.17,8,14,32
3.23,9,14,32
3.29,10,14,32
3.35,11,14,32
3.42,12,14,32
3.49,13,14,32
3.56,14,14,32
3.62,15,14,32
3.68,16,14,32
3.73,2,14,64
3.82,3,14,64
3.89,4,14,64
3.95,5,14,64
4.02,6,14,64
4.08,7,14,64
4.14,8,14,64
4.19,9,14,64
4.24,10,14,64
4.29,11,14,64
4.34,12,14,64
4.4,13,14,64
4.45,14,14,64
4.5,15,14,64
4.56,16,14,64
512 14 thread done,,,
0.06,2,16,4
0.12,3,16,4
0.18,4,16,4
0.23,5,16,4
0.29,6,16,4
0.34,7,16,4
0.4,8,16,4
0.46,9,16,4
0.51,10,16,4
0.57,11,16,4
0.63,12,16,4
0.69,13,16,4
0.74,14,16,4
0.8,15,16,4
0.85,16,16,4
0.9,2,16,8
0.95,3,16,8
1,4,16,8
1.05,5,16,8
1.1,6,16,8
1.16,7,16,8
1.21,8,16,8
1.26,9,16,8
1.32,10,16,8
1.38,11,16,8
1.44,12,16,8
1.49,13,16,8
1.55,14,16,8
1.6,15,16,8
1.65,16,16,8
1.7,2,16,16
1.75,3,16,16
1.8,4,16,16
1.85,5,16,16
1.9,6,16,16
1.95,7,16,16
2,8,16,16
2.05,9,16,16
2.1,10,16,16
2.15,11,16,16
2.21,12,16,16
2.26,13,16,16
2.32,14,16,16
2.37,15,16,16
2.43,16,16,16
2.48,2,16,32
2.53,3,16,32
2.58,4,16,32
2.63,5,16,32
2.68,6,16,32
2.73,7,16,32
2.78,8,16,32
2.83,9,16,32
2.87,10,16,32
2.92,11,16,32
2.97,12,16,32
3.02,13,16,32
3.08,14,16,32
3.13,15,16,32
3.18,16,16,32
3.26,2,16,64
3.32,3,16,64
3.4,4,16,64
3.47,5,16,64
3.53,6,16,64
3.62,7,16,64
3.68,8,16,64
3.75,9,16,64
3.8,10,16,64
3.85,11,16,64
3.92,12,16,64
3.99,13,16,64
4.06,14,16,64
4.13,15,16,64
4.2,16,16,64
512 16 thread done,,,
