512X512 BMM ,,,
Elapsed time,Power,Number of threads,Block size
3.19,11,14,32
3.24,12,14,32
3.28,13,14,32
3.33,14,14,32
3.38,15,14,32
3.42,16,14,32
3.49,2,14,64
3.55,3,14,64
3.61,4,14,64
3.67,5,14,64
3.73,6,14,64
3.79,7,14,64
3.86,8,14,64
3.92,9,14,64
3.99,10,14,64
4.05,11,14,64
4.1,12,14,64
4.16,13,14,64
4.23,14,14,64
4.29,15,14,64
4.35,16,14,64
512 14 thread done,,,
0.07,2,16,4
0.12,3,16,4
0.17,4,16,4
0.22,5,16,4
0.27,6,16,4
0.32,7,16,4
0.37,8,16,4
0.42,9,16,4
0.47,10,16,4
0.53,11,16,4
0.58,12,16,4
0.63,13,16,4
0.68,14,16,4
0.73,15,16,4
0.78,16,16,4
0.83,2,16,8
0.87,3,16,8
0.92,4,16,8
0.97,5,16,8
1.02,6,16,8
1.06,7,16,8
1.12,8,16,8
1.18,9,16,8
1.23,10,16,8
1.28,11,16,8
1.32,12,16,8
1.37,13,16,8
1.41,14,16,8
1.47,15,16,8
1.51,16,16,8
1.57,2,16,16
1.61,3,16,16
1.66,4,16,16
1.71,5,16,16
1.76,6,16,16
1.8,7,16,16
1.85,8,16,16
1.89,9,16,16
1.94,10,16,16
1.99,11,16,16
2.04,12,16,16
2.08,13,16,16
2.13,14,16,16
2.17,15,16,16
2.22,16,16,16
2.27,2,16,32
2.31,3,16,32
2.36,4,16,32
2.41,5,16,32
2.45,6,16,32
2.5,7,16,32
2.54,8,16,32
2.59,9,16,32
2.64,10,16,32
2.68,11,16,32
2.73,12,16,32
2.77,13,16,32
2.82,14,16,32
2.87,15,16,32
2.92,16,16,32
2.99,2,16,64
3.06,3,16,64
3.13,4,16,64
3.2,5,16,64
3.26,6,16,64
3.32,7,16,64
3.39,8,16,64
3.45,9,16,64
3.5,10,16,64
3.55,11,16,64
3.6,12,16,64
3.64,13,16,64
3.69,14,16,64
3.73,15,16,64
3.78,16,16,64
512 16 thread done,,,
