512x512 bmm 2,,,
Elapsed time,Power,No of threads,Block size
3.18,2,12,64
3.24,3,12,64
3.3,4,12,64
3.37,5,12,64
3.42,6,12,64
3.46,7,12,64
3.5,8,12,64
3.55,9,12,64
3.59,10,12,64
3.63,11,12,64
3.67,12,12,64
3.72,13,12,64
3.76,14,12,64
3.8,15,12,64
3.84,16,12,64
512 12 thread done,,,
0.06,2,14,4
0.12,3,14,4
0.19,4,14,4
0.25,5,14,4
0.3,6,14,4
0.36,7,14,4
0.42,8,14,4
0.47,9,14,4
0.53,10,14,4
0.59,11,14,4
0.64,12,14,4
0.7,13,14,4
0.75,14,14,4
0.81,15,14,4
0.87,16,14,4
0.92,2,14,8
0.98,3,14,8
1.04,4,14,8
1.09,5,14,8
1.15,6,14,8
1.21,7,14,8
1.26,8,14,8
1.32,9,14,8
1.38,10,14,8
1.43,11,14,8
1.49,12,14,8
1.55,13,14,8
1.61,14,14,8
1.66,15,14,8
1.72,16,14,8
1.77,2,14,16
1.84,3,14,16
1.89,4,14,16
1.95,5,14,16
2,6,14,16
2.06,7,14,16
2.12,8,14,16
2.18,9,14,16
2.24,10,14,16
2.29,11,14,16
2.34,12,14,16
2.4,13,14,16
2.45,14,14,16
2.51,15,14,16
2.56,16,14,16
2.62,2,14,32
2.68,3,14,32
2.75,4,14,32
2.79,5,14,32
2.84,6,14,32
2.88,7,14,32
2.93,8,14,32
2.97,9,14,32
3.02,10,14,32
3.07,11,14,32
3.11,12,14,32
3.16,13,14,32
3.21,14,14,32
3.26,15,14,32
3.32,16,14,32
3.38,2,14,64
3.44,3,14,64
3.5,4,14,64
3.57,5,14,64
3.64,6,14,64
3.71,7,14,64
3.77,8,14,64
3.84,9,14,64
3.89,10,14,64
3.96,11,14,64
4.02,12,14,64
4.08,13,14,64
4.14,14,14,64
4.2,15,14,64
4.26,16,14,64
512 14 thread done,,,
0.07,2,16,4
0.12,3,16,4
0.17,4,16,4
0.22,5,16,4
0.27,6,16,4
0.32,7,16,4
0.37,8,16,4
0.43,9,16,4
0.48,10,16,4
0.53,11,16,4
0.58,12,16,4
0.63,13,16,4
0.69,14,16,4
0.74,15,16,4
0.79,16,16,4
0.84,2,16,8
0.89,3,16,8
0.94,4,16,8
0.99,5,16,8
1.04,6,16,8
1.08,7,16,8
1.13,8,16,8
1.17,9,16,8
1.22,10,16,8
1.27,11,16,8
1.32,12,16,8
1.37,13,16,8
1.42,14,16,8
1.47,15,16,8
1.52,16,16,8
1.57,2,16,16
1.62,3,16,16
1.67,4,16,16
1.71,5,16,16
1.76,6,16,16
1.81,7,16,16
1.86,8,16,16
1.91,9,16,16
1.95,10,16,16
2,11,16,16
2.05,12,16,16
2.1,13,16,16
2.15,14,16,16
2.19,15,16,16
2.24,16,16,16
2.29,2,16,32
2.34,3,16,32
2.38,4,16,32
2.43,5,16,32
2.47,6,16,32
2.52,7,16,32
2.57,8,16,32
2.62,9,16,32
2.67,10,16,32
2.71,11,16,32
2.76,12,16,32
2.81,13,16,32
2.86,14,16,32
2.91,15,16,32
2.95,16,16,32
3.03,2,16,64
3.09,3,16,64
3.15,4,16,64
3.2,5,16,64
3.25,6,16,64
3.3,7,16,64
3.36,8,16,64
3.41,9,16,64
3.46,10,16,64
3.51,11,16,64
3.56,12,16,64
3.62,13,16,64
3.67,14,16,64
3.72,15,16,64
3.77,16,16,64
512 16 thread done,,,
